user_id,id,name,role,image,bio,focus_areas,link_linkedin,link_github,link_portfolio
2.0,1,José Eduardo Crescencio,Director de Misión,static/images/members/Edu.png,"Líder del equipo, encargado de la gestión del proyecto y la integración de todos los subsistemas. Apasionado por la propulsión y la dinámica de vuelo.",Gestión de Proyectos;Liderazgo de Equipo;Integración de Sistemas;Estrategia de Misión,,,
3.0,2,Thalía Bravo,Ingeniera de Sistema de Recuperación,static/images/members/Thalia.png,Especialista en el diseño y prueba de los sistemas de recuperación. Su trabajo asegura que nuestro cohete y su carga útil regresen a salvo a la Tierra después de cada misión.,Diseño de Paracaídas;Simulación de Descenso;Sistemas de Despliegue;Materiales Textiles,https://www.linkedin.com/in/thalía-isabel-bravo-pimentel-488128310/,,
4.0,3,Jorge Rojas,Comunicador,static/images/members/Jorge.png,"Responsable de la comunicación y relaciones públicas del equipo, y co-responsable del sistema de paracaídas, enfocado en los mecanismos de despliegue y la simulación de descenso.",Redes Sociales;Relaciones Públicas;Mecanismos de Despliegue;Pruebas de Campo,,,
1.0,4,Fernando Ian Yedra,Jefe de Ingeniería,static/images/members/Fer.png,"Desarrollador principal de la carga útil (CanSat) y la web. Encargado de la electrónica, programación de microcontroladores y la transmisión de telemetría en tiempo real.",Jefatura de Ingeniería;Diseño de CanSat;Electrónica y PCB;Programación de Microcontroladores;Telemetría;Desarrollo Web,https://www.linkedin.com/in/fernando-ian-yedra-lavalle-651129378/,https://github.com/FerianYedra,
5.0,5,Martha Valdes,Diseñadora de Comunicación,static/images/members/Martita.png,"Encargada de la identidad visual del equipo, desde el diseño de logos y parches hasta la creación de contenido para redes sociales y la página web.",Diseño Gráfico;Identidad de Marca;Marketing Digital;UI/UX Design,,,
6.0,6,Juan José Vidaña,Contador,static/images/members/Vidaña.png,"Responsable de la gestión financiera del proyecto, asegurando la administración eficiente de los recursos, presupuestos y patrocinios.",Finanzas y Presupuesto;Gestión de Patrocinios;Contabilidad;Administración de Recursos,,,
7.0,7,Sebastian Mendez,Ingeniero de Apoyo,static/images/members/Sebas.png,"Miembro versátil del equipo, brindando soporte crucial en diversas áreas de la ingeniería, desde el ensamblaje y las pruebas hasta la logística en el día del lanzamiento.",Soporte Técnico;Ensamblaje y Pruebas;Logística de Campo;Resolución de Problemas,,,
8.0,8,Maria Fernanda Crescencio,Diseñadora,static/images/members/Mafer.png,"Aporta la visión estética al diseño físico del cohete y los componentes del equipo, trabajando en la apariencia, los acabados y la presentación del proyecto.",Diseño de Producto;Estética y Acabados;Visualización 3D;Materiales y Manufactura,,,
9.0,9,Janet Lopez,Titular,static/images/members/Janet.png,"Asesora principal y mentora del equipo, proporcionando guía académica y técnica. Su experiencia es fundamental para superar los desafíos complejos del proyecto.",Asesoría Académica;Supervisión Técnica;Mentoría;Ingeniería Mecánica,,,
10.0,10,Mario Ramirez,Asesor,static/images/members/mario.png,Asesor especializado que aporta su conocimiento y experiencia en la industria para guiar al equipo en áreas técnicas clave y en la preparación para la competencia.,Asesoría Técnica;Revisión de Diseño;Preparación para Competencias;Buenas Prácticas,,,
11.0,11,Juan Camilo Tejada,Asesor,static/images/members/camilo.png,Asesor especializado que aporta su conocimiento y experiencia en la industria para guiar al equipo en áreas técnicas clave y en la preparación para la competencia.,Asesoría Técnica;Revisión de Diseño;Preparación para Competencias;Buenas Prácticas,,,
12.0,12,Julio Caballero,Asesor,static/images/members/julio.png,Asesor especializado que aporta su conocimiento y experiencia en la industria para guiar al equipo en áreas técnicas clave y en la preparación para la competencia.,Asesoría Técnica;Revisión de Diseño;Preparación para Competencias;Buenas Prácticas,,,
